,cat_id,mean,Forecast Date,Timestep
0,2004700003.0,36.28899922869263,05/30/2019,05/30/2019
1,2004700004.0,22.608739837398375,05/30/2019,05/30/2019
2,2004700005.0,46.26332891246685,05/30/2019,05/30/2019
3,2004700006.0,46.445754716981135,05/30/2019,05/30/2019
4,2004700008.0,40.50879646337062,05/30/2019,05/30/2019
5,2004700009.0,46.625,05/30/2019,05/30/2019
6,2004700010.0,38.94810924369748,05/30/2019,05/30/2019
7,2004700011.0,46.625,05/30/2019,05/30/2019
8,2004700012.0,23.146442986881937,05/30/2019,05/30/2019
9,2004700014.0,40.719026548672566,05/30/2019,05/30/2019
10,2004700015.0,36.8125,05/30/2019,05/30/2019
11,2004700016.0,37.125,05/30/2019,05/30/2019
12,2004700018.0,37.125,05/30/2019,05/30/2019
13,2004700019.0,38.24888855957321,05/30/2019,05/30/2019
14,2004700020.0,38.49707846410684,05/30/2019,05/30/2019
15,2004700021.0,38.63552582335329,05/30/2019,05/30/2019
16,2004700025.0,17.943131087662337,05/30/2019,05/30/2019
17,2004700027.0,34.61378555798687,05/30/2019,05/30/2019
18,2004700028.0,23.413790516206483,05/30/2019,05/30/2019
19,2004700029.0,15.5,05/30/2019,05/30/2019
20,2004700030.0,20.59323347107438,05/30/2019,05/30/2019
21,2004700031.0,16.919323979591837,05/30/2019,05/30/2019
22,2004700032.0,24.0625,05/30/2019,05/30/2019
23,2004700033.0,24.0625,05/30/2019,05/30/2019
24,2004700034.0,19.708867521367523,05/30/2019,05/30/2019
25,2004700036.0,23.594847204161248,05/30/2019,05/30/2019
26,2004700037.0,15.755944293478262,05/30/2019,05/30/2019
27,2004700038.0,14.588016428106702,05/30/2019,05/30/2019
28,2004700040.0,11.937853706847765,05/30/2019,05/30/2019
29,2004700042.0,9.3125,05/30/2019,05/30/2019
30,2004700043.0,11.005648688046648,05/30/2019,05/30/2019
31,2004700047.0,24.02445652173913,05/30/2019,05/30/2019
32,2004700048.0,22.40345547309833,05/30/2019,05/30/2019
33,2004700051.0,22.739990234375,05/30/2019,05/30/2019
34,2004700053.0,20.52786420204978,05/30/2019,05/30/2019
35,2004700054.0,31.525651144435674,05/30/2019,05/30/2019
36,2004700055.0,21.375,05/30/2019,05/30/2019
37,2004700056.0,35.68221830985915,05/30/2019,05/30/2019
38,2004700058.0,38.13225963884822,05/30/2019,05/30/2019
39,2004700062.0,22.1875,05/30/2019,05/30/2019
40,2004700063.0,22.1875,05/30/2019,05/30/2019
41,2004700065.0,20.064526184538654,05/30/2019,05/30/2019
42,2004700066.0,23.8125,05/30/2019,05/30/2019
43,2004700067.0,23.204616543095458,05/30/2019,05/30/2019
44,2004700068.0,23.611790005461497,05/30/2019,05/30/2019
45,2004700069.0,23.8125,05/30/2019,05/30/2019
46,2004700070.0,23.8125,05/30/2019,05/30/2019
