,cat_id,mean,Forecast Date,Timestep
107,2004700153.0,14.162955465587045,05/31/2019,05/31/2019
108,2004700154.0,0.0,05/31/2019,05/31/2019
109,2004700156.0,2.4972943722943723,05/31/2019,05/31/2019
110,2004700157.0,5.724632007516442,05/31/2019,05/31/2019
111,2004700158.0,15.89421568627451,05/31/2019,05/31/2019
112,2004700159.0,2.1875,05/31/2019,05/31/2019
113,2004700160.0,2.1875,05/31/2019,05/31/2019
114,2004700161.0,2.1875,05/31/2019,05/31/2019
115,2004700162.0,2.1875,05/31/2019,05/31/2019
116,2004700165.0,19.3125,05/31/2019,05/31/2019
117,2004700166.0,27.971113102998697,05/31/2019,05/31/2019
118,2004700169.0,19.3125,05/31/2019,05/31/2019
119,2004700173.0,0.0,05/31/2019,05/31/2019
120,2004700176.0,3.6197080291970805,05/31/2019,05/31/2019
121,2004700181.0,7.25,05/31/2019,05/31/2019
122,2004700190.0,0.0,05/31/2019,05/31/2019
123,2004700192.0,0.08197992700729927,05/31/2019,05/31/2019
124,2004700196.0,1.4451465835641737,05/31/2019,05/31/2019
125,2004700197.0,3.1137346272098387,05/31/2019,05/31/2019
126,2004700199.0,3.248848684210526,05/31/2019,05/31/2019
127,2004700200.0,16.65415250637213,05/31/2019,05/31/2019
128,2004700201.0,15.780351170568562,05/31/2019,05/31/2019
129,2004700204.0,0.1875,05/31/2019,05/31/2019
130,2004700209.0,0.002892030848329049,05/31/2019,05/31/2019
131,2004700214.0,15.75,05/31/2019,05/31/2019
132,2004700215.0,0.10330882352941176,05/31/2019,05/31/2019
133,2004700216.0,15.75,05/31/2019,05/31/2019
134,2004700218.0,12.768296933085502,05/31/2019,05/31/2019
135,2004700219.0,20.719029244516655,05/31/2019,05/31/2019
136,2004700220.0,33.18741461748634,05/31/2019,05/31/2019
137,2004700221.0,18.259777414486923,05/31/2019,05/31/2019
138,2004700222.0,0.3125,05/31/2019,05/31/2019
139,2004700223.0,0.3125,05/31/2019,05/31/2019
140,2004700225.0,0.3125,05/31/2019,05/31/2019
141,2004700226.0,25.1875,05/31/2019,05/31/2019
142,2004700227.0,20.91340648854962,05/31/2019,05/31/2019
143,2004700228.0,3.8125,05/31/2019,05/31/2019
144,2004700231.0,1.4399038461538463,05/31/2019,05/31/2019
145,2004700232.0,11.5,05/31/2019,05/31/2019
146,2004700235.0,2.994911421032793,05/31/2019,05/31/2019
147,2004700237.0,2.0401522593320234,05/31/2019,05/31/2019
148,2004700238.0,4.038581161137441,05/31/2019,05/31/2019
149,2004700239.0,4.1168882978723405,05/31/2019,05/31/2019
150,2004700244.0,4.5,05/31/2019,05/31/2019
151,2004700245.0,4.599163807890223,05/31/2019,05/31/2019
152,2004700246.0,4.126388888888889,05/31/2019,05/31/2019
153,2004700247.0,4.667424717691342,05/31/2019,05/31/2019
154,2004700248.0,1.8367469031531531,05/31/2019,05/31/2019
155,2004700250.0,6.98652844551282,05/31/2019,05/31/2019
156,2004700251.0,19.084021226415093,05/31/2019,05/31/2019
157,2004700255.0,13.049697136563877,05/31/2019,05/31/2019
158,2004700256.0,24.526543674698797,05/31/2019,05/31/2019
159,2004700257.0,26.557987711213517,05/31/2019,05/31/2019
160,2004700259.0,13.574122708985248,05/31/2019,05/31/2019
161,2004700260.0,16.885065091610414,05/31/2019,05/31/2019
162,2004700261.0,15.26283204205866,05/31/2019,05/31/2019
163,2004700263.0,14.375,05/31/2019,05/31/2019
164,2004700265.0,14.206026989935957,05/31/2019,05/31/2019
165,2004700266.0,14.375,05/31/2019,05/31/2019
166,2004700267.0,14.116344519966015,05/31/2019,05/31/2019
167,2004700268.0,16.350806451612904,05/31/2019,05/31/2019
168,2004700269.0,9.44087651598677,05/31/2019,05/31/2019
169,2004700270.0,11.433303886925795,05/31/2019,05/31/2019
170,2004700271.0,12.825892857142858,05/31/2019,05/31/2019
171,2004700272.0,9.544513236549957,05/31/2019,05/31/2019
172,2004700273.0,23.250149880095922,05/31/2019,05/31/2019
173,2004700277.0,0.1875,05/31/2019,05/31/2019
