ISO3,NAME,cat_id,max,mean,count,Forecast Timestamp,Timestep
HND,Honduras,55555,18.5,1.4,1510249,2019060712,2019061012
NIC,Nicaragua,66666,28.1,2.9,1707970,2019060712,2019061012
PAN,Panama,77777,31.2,3.2,979338,2019060712,2019061012
BLZ,Belize,11111,8.2,2.6,300988,2019060712,2019061018
CRI,Costa Rica,22222,13.2,1.2,673730,2019060712,2019061018
SLV,El Salvador,33333,12.8,2.5,275275,2019060712,2019061018
GTM,Guatemala,44444,12.8,1.1,1470196,2019060712,2019061018
HND,Honduras,55555,15.6,1.4,1510249,2019060712,2019061018
NIC,Nicaragua,66666,34.6,4.5,1707970,2019060712,2019061018
PAN,Panama,77777,27.4,5.6,979338,2019060712,2019061018
BLZ,Belize,11111,15.7,3.1,300988,2019060712,2019061100
CRI,Costa Rica,22222,35.6,10.5,673730,2019060712,2019061100
SLV,El Salvador,33333,29.1,9.2,275275,2019060712,2019061100
GTM,Guatemala,44444,33.8,6.2,1470196,2019060712,2019061100
HND,Honduras,55555,33.8,8.9,1510249,2019060712,2019061100
NIC,Nicaragua,66666,33.3,6.7,1707970,2019060712,2019061100
PAN,Panama,77777,31.9,8.0,979338,2019060712,2019061100
BLZ,Belize,11111,15.6,1.3,300988,2019060712,2019061106
CRI,Costa Rica,22222,30.6,5.0,673730,2019060712,2019061106
SLV,El Salvador,33333,32.5,6.8,275275,2019060712,2019061106
GTM,Guatemala,44444,41.4,9.0,1470196,2019060712,2019061106
HND,Honduras,55555,26.8,3.0,1510249,2019060712,2019061106
NIC,Nicaragua,66666,24.1,4.3,1707970,2019060712,2019061106
PAN,Panama,77777,53.9,3.3,979338,2019060712,2019061106
BLZ,Belize,11111,16.4,2.6,300988,2019060712,2019061112
CRI,Costa Rica,22222,17.7,1.3,673730,2019060712,2019061112
SLV,El Salvador,33333,8.8,0.7,275275,2019060712,2019061112
GTM,Guatemala,44444,30.8,2.7,1470196,2019060712,2019061112
HND,Honduras,55555,13.1,0.9,1510249,2019060712,2019061112
NIC,Nicaragua,66666,19.4,2.0,1707970,2019060712,2019061112
PAN,Panama,77777,33.5,2.1,979338,2019060712,2019061112
BLZ,Belize,11111,14.4,3.2,300988,2019060712,2019061118
CRI,Costa Rica,22222,13.3,2.7,673730,2019060712,2019061118
SLV,El Salvador,33333,8.4,1.9,275275,2019060712,2019061118
GTM,Guatemala,44444,14.4,1.1,1470196,2019060712,2019061118
HND,Honduras,55555,8.2,0.7,1510249,2019060712,2019061118
NIC,Nicaragua,66666,17.2,2.9,1707970,2019060712,2019061118
PAN,Panama,77777,13.6,3.4,979338,2019060712,2019061118
BLZ,Belize,11111,9.3,0.9,300988,2019060712,2019061200
CRI,Costa Rica,22222,25.1,7.5,673730,2019060712,2019061200
SLV,El Salvador,33333,14.7,3.1,275275,2019060712,2019061200
GTM,Guatemala,44444,26.1,6.4,1470196,2019060712,2019061200
HND,Honduras,55555,14.7,3.3,1510249,2019060712,2019061200
NIC,Nicaragua,66666,15.1,4.5,1707970,2019060712,2019061200
PAN,Panama,77777,21.8,6.2,979338,2019060712,2019061200
BLZ,Belize,11111,9.9,0.4,300988,2019060712,2019061206
CRI,Costa Rica,22222,22.8,3.9,673730,2019060712,2019061206
SLV,El Salvador,33333,22.0,5.6,275275,2019060712,2019061206
GTM,Guatemala,44444,37.9,5.0,1470196,2019060712,2019061206
HND,Honduras,55555,16.2,2.4,1510249,2019060712,2019061206
NIC,Nicaragua,66666,22.6,3.2,1707970,2019060712,2019061206
PAN,Panama,77777,40.9,2.4,979338,2019060712,2019061206
BLZ,Belize,11111,14.3,1.4,300988,2019060712,2019061212
CRI,Costa Rica,22222,11.1,1.2,673730,2019060712,2019061212
SLV,El Salvador,33333,11.8,1.5,275275,2019060712,2019061212
GTM,Guatemala,44444,15.1,1.6,1470196,2019060712,2019061212
HND,Honduras,55555,29.9,2.1,1510249,2019060712,2019061212
