cat_id,cum_mean,mean,max
11111.0,42.3,4.1,27.2
22222.0,101.3,13.3,68.6
33333.0,44.8,7.5,24.1
44444.0,56.6,7.7,29.4
55555.0,44.2,7.8,24.5
66666.0,70.3,4.5,98.9
77777.0,98.9,10.9,75.0
