BASIN,01FFG2018021312
2004700360,102.07
2004700361,100.12
2004700362,68.6
2004700363,67.24
2004700364,70.03
2004700365,101.93
2004700366,99.99
2004700367,91.56
2004700368,95.25
2004700369,63.86
2004700370,64.31
2004700371,74.53
2004700372,95.4
2004700373,94.7
2004700374,93.84
2004700375,53.1
2004700376,53.22
2004700377,93.76
2004700378,-999
2004700379,-999
2004700380,76.35
2004700381,-999
2004700382,66.01
2004700383,-999
2004700384,72.48
2004700385,69.12
2004700386,70.27
2004700387,-999
2004700388,65.12
2004700389,64.36
2004700390,64.52
2004700391,-999
2004700392,106.12
2004700393,67.6
2004700394,70.64
2004700395,-999
2004700396,120.21
2004700397,68.79
2004700398,116.97
2004700399,87.84
2004700400,72.89
2004700401,86.88
2004700402,114.84
2004700403,85.89
2004700404,104.34
2004700405,86.25
2004700406,74.83
2004700407,73.13
2004700408,70.51
2004700409,66.24
2004700410,65.39
2004700411,67.66
2004700412,66.97
2004700413,65.26
2004700414,65.84
2004700415,114.63
2004700416,110.43
2004700417,78.98
2004700418,102.38
2004700419,72.22
2004700420,-333
2004700421,106.61
2004700422,64.52
2004700423,63.06
2004700424,-333
2004700425,-333
2004700426,-999
2004700427,-999
2004700428,-999
2004700429,95.69
2004700430,-999
2004700431,-999
2004700432,92.98
2004700433,-999
2004700434,93.95
2004700435,-999
2004700436,-999
2004700437,75.13
2004700438,74.98
2004700439,74.45
2004700440,73.07
2004700441,72.74
2004700442,65.44
2004700443,64.65
2004700444,90.24
2004700445,77.64
2004700446,64.25
2004700447,63.96
2004700448,63.85
2004700449,70.87
2004700450,70.2
2004700451,60.85
2004700452,91.9
2004700453,65.02
2004700454,64.48
2004700455,79.17
2004700456,67.03
2004700457,64.89
2004700458,66.41
2004700459,77.36
2004700460,76.68
2004700461,63.96
2004700462,76.55
2004700463,69.09
2004700464,68.08
2004700465,69.47
2004700466,66.43
2004700467,64.5
2004700468,64.89
2004700469,64.17
2004700470,64.17
2004700471,65.07
2004700472,74.03
2004700473,70.35
2004700474,64.51
2004700475,63.57
2004700476,61.92
2004700477,60.55
2004700478,62.94
2004700479,65.59
2004700480,61.43
2004700481,65.33
2004700482,54.74
2004700483,64.53
2004700484,102.42
2004700485,89.43
2004700486,97.95
2004700487,63.64
2004700488,63.6
2004700489,53.24
2004700490,75.79
2004700491,107.63
2004700492,72.23
2004700493,67.17
2004700494,92.81
2004700495,113.23
2004700496,62.45
2004700497,67.59
2004700498,73.23
2004700499,76.53
2004700500,75.43
2004700501,69.76
2004700502,61.72
2004700503,59.06
2004700504,53.68
2004700505,57.64
2004700506,58.89
2004700507,72.67
2004700508,53.24
2004700509,53.19
2004700510,52.97
2004700511,71.22
2004700512,64.51
2004700513,53.04
2004700514,56.54
2004700515,67.77
2004700516,74.86
2004700517,80.59
2004700518,54.53
2004700519,60.46
2004700520,54.91
2004700521,57.73
2004700522,76.02
2004700523,112.1
2004700524,118.3
2004700525,77.15
2004700526,117.5
2004700527,101.91
2004700528,101.49
2004700529,76.94
2004700530,116.49
2004700531,97.15
2004700532,61.53
2004700533,72.24
2004700534,76.78
2004700535,75.12
2004700536,56.17
2004700537,56.99
2004700538,53.61
2004700539,74.97
2004700540,108.73
2004700541,81.64
2004700542,69.49
2004700543,107.11
2004700544,62.04
2004700545,76.44
2004700546,84.6
2004700547,66.53
2004700548,64.08
2004700549,61.94
2004700550,80.74
2004700551,52.77
2004700552,52.66
2004700553,91.9
2004700554,61.96
2004700555,59.49
2004700556,52.43
2004700557,53.03
2004700558,53.25
2004700559,76.1
2004700560,66.93
2004700561,74.2
2004700562,63.15
2004700563,72.61
2004700564,68.76
2004700565,71.9
2004700566,65.4
2004700567,68.82
2004700568,95.47
2004700569,94.94
2004700570,68.28
2004700571,83.05
2004700572,81.7
2004700573,77.69
2004700574,66.36
