,cat_id,max,mean,count,Timestamp,Timestep
93,2004700133.0,0.0,0.0,77,2019060406,2019060412
94,2004700134.0,0.0,0.0,1990,2019060406,2019060412
95,2004700135.0,0.0,0.0,973,2019060406,2019060412
96,2004700136.0,0.125,0.002781467950846895,3011,2019060406,2019060412
97,2004700137.0,0.125,0.048004079254079256,1716,2019060406,2019060412
98,2004700138.0,0.125,0.125,1049,2019060406,2019060412
99,2004700139.0,0.125,0.11242884250474383,527,2019060406,2019060412
100,2004700141.0,0.125,0.05340681362725451,2495,2019060406,2019060412
101,2004700142.0,0.125,0.125,2188,2019060406,2019060412
102,2004700143.0,0.125,0.08095238095238096,1260,2019060406,2019060412
103,2004700145.0,0.0,0.0,1678,2019060406,2019060412
104,2004700146.0,0.0,0.0,995,2019060406,2019060412
105,2004700147.0,0.0,0.0,424,2019060406,2019060412
106,2004700150.0,0.125,0.00127942681678608,977,2019060406,2019060412
107,2004700153.0,0.0,0.0,1976,2019060406,2019060412
108,2004700154.0,0.0,0.0,1082,2019060406,2019060412
109,2004700156.0,0.0,0.0,231,2019060406,2019060412
110,2004700157.0,0.0,0.0,3193,2019060406,2019060412
111,2004700158.0,0.0,0.0,2550,2019060406,2019060412
112,2004700159.0,0.0,0.0,404,2019060406,2019060412
113,2004700160.0,0.0,0.0,598,2019060406,2019060412
114,2004700161.0,0.0,0.0,1823,2019060406,2019060412
115,2004700162.0,0.0,0.0,632,2019060406,2019060412
116,2004700165.0,0.0,0.0,831,2019060406,2019060412
117,2004700166.0,0.125,0.03772816166883963,1534,2019060406,2019060412
118,2004700169.0,0.0,0.0,545,2019060406,2019060412
119,2004700173.0,0.0,0.0,781,2019060406,2019060412
120,2004700176.0,0.0,0.0,685,2019060406,2019060412
121,2004700181.0,0.0,0.0,190,2019060406,2019060412
122,2004700190.0,0.0,0.0,382,2019060406,2019060412
123,2004700192.0,0.0,0.0,1370,2019060406,2019060412
124,2004700196.0,0.0,0.0,2166,2019060406,2019060412
125,2004700197.0,0.0,0.0,2602,2019060406,2019060412
126,2004700199.0,0.0,0.0,380,2019060406,2019060412
127,2004700200.0,0.0,0.0,1177,2019060406,2019060412
128,2004700201.0,0.0,0.0,1495,2019060406,2019060412
129,2004700204.0,0.0,0.0,238,2019060406,2019060412
130,2004700209.0,0.0,0.0,389,2019060406,2019060412
131,2004700214.0,0.0,0.0,364,2019060406,2019060412
132,2004700215.0,0.0,0.0,680,2019060406,2019060412
133,2004700216.0,0.0,0.0,18,2019060406,2019060412
134,2004700218.0,0.0,0.0,1076,2019060406,2019060412
135,2004700219.0,0.0,0.0,1231,2019060406,2019060412
136,2004700220.0,0.0,0.0,1464,2019060406,2019060412
137,2004700221.0,0.0,0.0,1988,2019060406,2019060412
138,2004700222.0,0.0,0.0,88,2019060406,2019060412
139,2004700223.0,0.0,0.0,645,2019060406,2019060412
140,2004700225.0,0.0,0.0,976,2019060406,2019060412
141,2004700226.0,0.0,0.0,275,2019060406,2019060412
142,2004700227.0,0.0,0.0,524,2019060406,2019060412
143,2004700228.0,0.0,0.0,431,2019060406,2019060412
144,2004700231.0,0.0,0.0,832,2019060406,2019060412
145,2004700232.0,0.0,0.0,661,2019060406,2019060412
146,2004700235.0,0.0,0.0,2653,2019060406,2019060412
147,2004700237.0,0.0,0.0,509,2019060406,2019060412
148,2004700238.0,0.0,0.0,1688,2019060406,2019060412
149,2004700239.0,0.0,0.0,940,2019060406,2019060412
150,2004700244.0,0.0,0.0,610,2019060406,2019060412
151,2004700245.0,0.0,0.0,583,2019060406,2019060412
152,2004700246.0,0.0,0.0,2520,2019060406,2019060412
153,2004700247.0,0.0,0.0,797,2019060406,2019060412
154,2004700248.0,0.0,0.0,3552,2019060406,2019060412
155,2004700250.0,0.0,0.0,1248,2019060406,2019060412
156,2004700251.0,0.0,0.0,1272,2019060406,2019060412
157,2004700255.0,0.0,0.0,908,2019060406,2019060412
158,2004700256.0,0.0,0.0,1328,2019060406,2019060412
159,2004700257.0,0.0,0.0,3906,2019060406,2019060412
160,2004700259.0,0.0,0.0,2237,2019060406,2019060412
161,2004700260.0,0.0,0.0,1037,2019060406,2019060412
162,2004700261.0,0.0,0.0,1807,2019060406,2019060412
163,2004700263.0,0.0,0.0,811,2019060406,2019060412
164,2004700265.0,0.0,0.0,1093,2019060406,2019060412
165,2004700266.0,0.0,0.0,405,2019060406,2019060412
166,2004700267.0,0.0,0.0,2354,2019060406,2019060412
167,2004700268.0,0.0,0.0,403,2019060406,2019060412
168,2004700269.0,0.0,0.0,907,2019060406,2019060412
169,2004700270.0,0.0,0.0,566,2019060406,2019060412
170,2004700271.0,0.0,0.0,84,2019060406,2019060412
171,2004700272.0,0.0,0.0,2342,2019060406,2019060412
172,2004700273.0,0.0,0.0,417,2019060406,2019060412
173,2004700277.0,0.0,0.0,943,2019060406,2019060412
174,2004700279.0,0.0,0.0,1096,2019060406,2019060412
175,2004700281.0,0.0,0.0,356,2019060406,2019060412
176,2004700282.0,0.0,0.0,1253,2019060406,2019060412
177,2004700284.0,0.0,0.0,617,2019060406,2019060412
178,2004700285.0,0.0,0.0,3310,2019060406,2019060412
179,2004700287.0,0.0,0.0,370,2019060406,2019060412
180,2004700288.0,0.0,0.0,1785,2019060406,2019060412
181,2004700290.0,0.0,0.0,838,2019060406,2019060412
182,2004700291.0,0.0,0.0,1474,2019060406,2019060412
183,2004700293.0,0.0,0.0,1592,2019060406,2019060412
184,2004700295.0,0.0,0.0,525,2019060406,2019060412
185,2004700297.0,0.0,0.0,101,2019060406,2019060412
186,2004700299.0,0.0,0.0,576,2019060406,2019060412
187,2004700300.0,0.0,0.0,780,2019060406,2019060412
188,2004700301.0,0.0,0.0,1376,2019060406,2019060412
189,2004700303.0,0.0,0.0,470,2019060406,2019060412
190,2004700308.0,0.0,0.0,1103,2019060406,2019060412
191,2004700312.0,0.0,0.0,873,2019060406,2019060412
192,2004700313.0,0.0,0.0,1859,2019060406,2019060412
