cat_id,max,mean,count,Forecast Timestamp,Timestep
2004700003,0.0,0.0,6393,2019062006,2019062007
2004700004,0.0,0.0,4562,2019062006,2019062007
2004700005,0.0,0.0,2323,2019062006,2019062007
2004700006,0.0,0.0,911,2019062006,2019062007
2004700008,0.0,0.0,3414,2019062006,2019062007
2004700009,0.0,0.0,473,2019062006,2019062007
2004700010,0.0,0.0,736,2019062006,2019062007
2004700011,0.0,0.0,304,2019062006,2019062007
2004700012,0.0,0.0,2436,2019062006,2019062007
2004700014,0.0,0.0,546,2019062006,2019062007
2004700015,0.0,0.0,2012,2019062006,2019062007
2004700016,0.0,0.0,489,2019062006,2019062007
2004700018,0.0,0.0,1757,2019062006,2019062007
2004700019,0.0,0.0,2085,2019062006,2019062007
2004700020,0.0,0.0,2234,2019062006,2019062007
2004700021,0.0,0.0,3303,2019062006,2019062007
2004700025,0.0,0.0,3038,2019062006,2019062007
2004700027,0.0,0.0,567,2019062006,2019062007
2004700028,0.0,0.0,1032,2019062006,2019062007
2004700029,0.0,0.0,917,2019062006,2019062007
2004700030,0.0,0.0,5370,2019062006,2019062007
2004700031,0.0,0.0,486,2019062006,2019062007
2004700032,0.0,0.0,432,2019062006,2019062007
2004700033,0.0,0.0,905,2019062006,2019062007
2004700034,0.0,0.0,5056,2019062006,2019062007
2004700036,0.0,0.0,951,2019062006,2019062007
2004700037,0.0,0.0,1371,2019062006,2019062007
2004700038,0.0,0.0,3781,2019062006,2019062007
2004700040,0.0,0.0,2196,2019062006,2019062007
2004700042,0.0,0.0,572,2019062006,2019062007
2004700043,0.0,0.0,2534,2019062006,2019062007
2004700047,0.0,0.0,419,2019062006,2019062007
2004700048,0.0,0.0,3328,2019062006,2019062007
2004700051,0.0,0.0,638,2019062006,2019062007
2004700053,0.0,0.0,1691,2019062006,2019062007
2004700054,0.0,0.0,1564,2019062006,2019062007
2004700055,0.0,0.0,779,2019062006,2019062007
2004700056,0.0,0.0,1411,2019062006,2019062007
2004700058,0.0,0.0,5053,2019062006,2019062007
2004700062,0.0,0.0,1098,2019062006,2019062007
2004700063,0.0,0.0,2134,2019062006,2019062007
2004700065,0.0,0.0,3960,2019062006,2019062007
2004700066,0.0,0.0,529,2019062006,2019062007
2004700067,0.0,0.0,2661,2019062006,2019062007
2004700068,0.0,0.0,2237,2019062006,2019062007
2004700069,0.0,0.0,514,2019062006,2019062007
2004700070,0.0,0.0,529,2019062006,2019062007
2004700071,0.0,0.0,1104,2019062006,2019062007
2004700073,0.0,0.0,3460,2019062006,2019062007
2004700074,0.0,0.0,1981,2019062006,2019062007
2004700075,0.0,0.0,799,2019062006,2019062007
2004700076,0.0,0.0,139,2019062006,2019062007
2004700078,0.0,0.0,154,2019062006,2019062007
2004700079,0.0,0.0,676,2019062006,2019062007
2004700080,0.0,0.0,1822,2019062006,2019062007
2004700081,0.0,0.0,1484,2019062006,2019062007
2004700082,0.0,0.0,1930,2019062006,2019062007
2004700083,0.0,0.0,173,2019062006,2019062007
2004700084,0.0,0.0,184,2019062006,2019062007
2004700088,0.0,0.0,1173,2019062006,2019062007
2004700090,0.0,0.0,281,2019062006,2019062007
2004700091,0.0,0.0,1645,2019062006,2019062007
2004700092,0.0,0.0,1305,2019062006,2019062007
2004700093,0.0,0.0,3355,2019062006,2019062007
2004700095,0.0,0.0,3137,2019062006,2019062007
2004700096,0.0,0.0,2019,2019062006,2019062007
2004700097,0.0,0.0,6294,2019062006,2019062007
2004700098,0.0,0.0,2612,2019062006,2019062007
2004700099,0.0,0.0,5077,2019062006,2019062007
2004700100,0.0,0.0,2214,2019062006,2019062007
2004700101,0.0,0.0,1377,2019062006,2019062007
2004700103,0.0,0.0,464,2019062006,2019062007
2004700105,0.0,0.0,724,2019062006,2019062007
2004700106,0.0,0.0,735,2019062006,2019062007
2004700107,0.0,0.0,992,2019062006,2019062007
2004700109,0.0,0.0,900,2019062006,2019062007
2004700111,0.0,0.0,1049,2019062006,2019062007
2004700113,0.0,0.0,316,2019062006,2019062007
2004700114,0.0,0.0,437,2019062006,2019062007
2004700115,0.0,0.0,796,2019062006,2019062007
2004700116,0.0,0.0,704,2019062006,2019062007
2004700117,0.0,0.0,1198,2019062006,2019062007
2004700120,0.0,0.0,1523,2019062006,2019062007
2004700121,0.0,0.0,1593,2019062006,2019062007
2004700123,0.0,0.0,1961,2019062006,2019062007
2004700124,0.0,0.0,456,2019062006,2019062007
2004700125,0.0,0.0,1341,2019062006,2019062007
2004700126,0.0,0.0,91,2019062006,2019062007
2004700127,0.0,0.0,2058,2019062006,2019062007
2004700129,0.0,0.0,1879,2019062006,2019062007
2004700130,0.0,0.0,503,2019062006,2019062007
2004700131,0.0,0.0,484,2019062006,2019062007
2004700132,0.0,0.0,3848,2019062006,2019062007
2004700133,0.0,0.0,96,2019062006,2019062007
2004700134,0.0,0.0,2445,2019062006,2019062007
2004700135,0.0,0.0,1206,2019062006,2019062007
2004700136,0.0,0.0,3724,2019062006,2019062007
2004700137,0.0,0.0,2115,2019062006,2019062007
2004700138,0.0,0.0,1300,2019062006,2019062007
2004700139,0.0,0.0,645,2019062006,2019062007
2004700141,0.0,0.0,3076,2019062006,2019062007
2004700142,0.0,0.0,2704,2019062006,2019062007
2004700143,0.0,0.0,1556,2019062006,2019062007
2004700145,0.0,0.0,2080,2019062006,2019062007
2004700146,0.0,0.0,1222,2019062006,2019062007
2004700147,0.0,0.0,525,2019062006,2019062007
2004700150,0.0,0.0,1206,2019062006,2019062007
2004700153,0.0,0.0,2441,2019062006,2019062007
2004700154,0.0,0.0,1333,2019062006,2019062007
2004700156,0.0,0.0,289,2019062006,2019062007
2004700157,0.0,0.0,3943,2019062006,2019062007
2004700158,0.0,0.0,3152,2019062006,2019062007
2004700159,0.0,0.0,503,2019062006,2019062007
2004700160,0.0,0.0,733,2019062006,2019062007
2004700161,0.0,0.0,2259,2019062006,2019062007
2004700162,0.0,0.0,793,2019062006,2019062007
2004700165,0.0,0.0,1014,2019062006,2019062007
2004700166,0.0,0.0,1897,2019062006,2019062007
2004700169,0.0,0.0,679,2019062006,2019062007
2004700173,0.0,0.0,960,2019062006,2019062007
2004700176,0.0,0.0,833,2019062006,2019062007
2004700181,0.0,0.0,234,2019062006,2019062007
2004700190,0.0,0.0,487,2019062006,2019062007
2004700192,0.0,0.0,1690,2019062006,2019062007
2004700196,0.0,0.0,2663,2019062006,2019062007
2004700197,0.0,0.0,3213,2019062006,2019062007
2004700199,0.0,0.0,472,2019062006,2019062007
2004700200,0.0,0.0,1460,2019062006,2019062007
2004700201,0.0,0.0,1845,2019062006,2019062007
2004700204,0.0,0.0,292,2019062006,2019062007
2004700209,0.0,0.0,481,2019062006,2019062007
2004700214,0.0,0.0,443,2019062006,2019062007
2004700215,0.0,0.0,842,2019062006,2019062007
2004700216,0.0,0.0,24,2019062006,2019062007
2004700218,0.0,0.0,1346,2019062006,2019062007
2004700219,0.0,0.0,1516,2019062006,2019062007
2004700220,0.0,0.0,1802,2019062006,2019062007
2004700221,0.0,0.0,2452,2019062006,2019062007
2004700222,0.0,0.0,111,2019062006,2019062007
2004700223,0.0,0.0,806,2019062006,2019062007
2004700225,0.0,0.0,1201,2019062006,2019062007
2004700226,0.0,0.0,343,2019062006,2019062007
2004700227,0.0,0.0,652,2019062006,2019062007
2004700228,0.0,0.0,529,2019062006,2019062007
2004700231,0.0,0.0,1032,2019062006,2019062007
2004700232,0.0,0.0,817,2019062006,2019062007
2004700235,0.0,0.0,3273,2019062006,2019062007
2004700237,0.0,0.0,632,2019062006,2019062007
2004700238,0.0,0.0,2094,2019062006,2019062007
2004700239,0.0,0.0,1148,2019062006,2019062007
2004700244,0.0,0.0,763,2019062006,2019062007
2004700245,0.0,0.0,718,2019062006,2019062007
2004700246,0.0,0.0,3100,2019062006,2019062007
2004700247,0.0,0.0,984,2019062006,2019062007
2004700248,0.0,0.0,4396,2019062006,2019062007
2004700250,0.0,0.0,1544,2019062006,2019062007
2004700251,0.0,0.0,1574,2019062006,2019062007
2004700255,0.0,0.0,1119,2019062006,2019062007
2004700256,0.0,0.0,1639,2019062006,2019062007
2004700257,0.0,0.0,4820,2019062006,2019062007
2004700259,0.0,0.0,2747,2019062006,2019062007
2004700260,0.0,0.0,1279,2019062006,2019062007
2004700261,0.0,0.0,2242,2019062006,2019062007
2004700263,0.0,0.0,1000,2019062006,2019062007
2004700265,0.0,0.0,1360,2019062006,2019062007
2004700266,0.0,0.0,494,2019062006,2019062007
2004700267,0.0,0.0,2904,2019062006,2019062007
2004700268,0.0,0.0,492,2019062006,2019062007
2004700269,0.0,0.0,1125,2019062006,2019062007
2004700270,0.0,0.0,693,2019062006,2019062007
2004700271,0.0,0.0,102,2019062006,2019062007
2004700272,0.0,0.0,2917,2019062006,2019062007
2004700273,0.0,0.0,520,2019062006,2019062007
2004700277,0.0,0.0,1162,2019062006,2019062007
2004700279,0.0,0.0,1350,2019062006,2019062007
2004700281,0.0,0.0,435,2019062006,2019062007
2004700282,0.0,0.0,1548,2019062006,2019062007
2004700284,0.0,0.0,771,2019062006,2019062007
2004700285,0.0,0.0,4085,2019062006,2019062007
2004700287,0.0,0.0,448,2019062006,2019062007
2004700288,0.0,0.0,2197,2019062006,2019062007
2004700290,0.0,0.0,1049,2019062006,2019062007
2004700291,0.0,0.0,1832,2019062006,2019062007
2004700293,0.0,0.0,1958,2019062006,2019062007
2004700295,0.0,0.0,642,2019062006,2019062007
2004700297,0.0,0.0,126,2019062006,2019062007
2004700299,0.0,0.0,724,2019062006,2019062007
2004700300,0.0,0.0,965,2019062006,2019062007
2004700301,0.0,0.0,1690,2019062006,2019062007
2004700303,0.0,0.0,574,2019062006,2019062007
2004700308,0.0,0.0,1368,2019062006,2019062007
2004700312,0.0,0.0,1068,2019062006,2019062007
2004700313,0.0,0.0,2306,2019062006,2019062007
2004700314,0.0,0.0,438,2019062006,2019062007
2004700315,0.0,0.0,1220,2019062006,2019062007
2004700319,0.0,0.0,533,2019062006,2019062007
2004700320,0.0,0.0,431,2019062006,2019062007
2004700321,0.0,0.0,29,2019062006,2019062007
2004700322,0.0,0.0,60,2019062006,2019062007
2004700329,0.0,0.0,807,2019062006,2019062007
2004700331,0.0,0.0,457,2019062006,2019062007
2004700333,0.0,0.0,1525,2019062006,2019062007
2004700335,0.0,0.0,4579,2019062006,2019062007
2004700336,0.0,0.0,4,2019062006,2019062007
2004700340,0.0,0.0,628,2019062006,2019062007
2004700341,0.0,0.0,608,2019062006,2019062007
2004700345,0.0,0.0,1382,2019062006,2019062007
2004700346,0.0,0.0,334,2019062006,2019062007
2004700347,0.0,0.0,5224,2019062006,2019062007
2004700350,0.0,0.0,3869,2019062006,2019062007
2004700351,0.0,0.0,898,2019062006,2019062007
2004700352,0.0,0.0,1293,2019062006,2019062007
2004700358,0.0,0.0,1538,2019062006,2019062007
2004700359,0.0,0.0,3084,2019062006,2019062007
2004700360,0.0,0.0,840,2019062006,2019062007
